id,title,source_path,source_commit,beginner,tlaps_proof,pluscal,tlc_model,apalache,category,porting_wave,runtime_refinement_target,required_parity
TV-001,Teaching Concurrency,specifications/TeachingConcurrency,91c22ea537853196ed1e03e9ad91693ec37642de,True,full,full,True,False,shared-memory/concurrency,0,selected,P4
TV-002,Loop Invariance,specifications/LoopInvariance,91c22ea537853196ed1e03e9ad91693ec37642de,True,full,full,True,False,proof/program-logic,0,none,P4
TV-003,Learn TLA+ Proofs,specifications/LearnProofs,91c22ea537853196ed1e03e9ad91693ec37642de,True,full,full,True,False,proof/tutorial,0,none,P4
TV-004,Boyer-Moore Majority Vote,specifications/Majority,91c22ea537853196ed1e03e9ad91693ec37642de,True,full,none,True,False,sequential-algorithm,0,none,P4
TV-005,Proof x+x is Even,specifications/sums_even,91c22ea537853196ed1e03e9ad91693ec37642de,True,full,none,True,False,mathematics,0,none,P4
TV-006,The N-Queens Puzzle,specifications/N-Queens,91c22ea537853196ed1e03e9ad91693ec37642de,True,none,full,True,False,finite-puzzle,0,none,P2
TV-007,The Dining Philosophers Problem,specifications/DiningPhilosophers,91c22ea537853196ed1e03e9ad91693ec37642de,True,none,full,True,True,shared-memory/concurrency,0,selected,P3
TV-008,The Car Talk Puzzle,specifications/CarTalkPuzzle,91c22ea537853196ed1e03e9ad91693ec37642de,True,none,none,True,False,finite-puzzle,0,none,P2
TV-009,The Die Hard Problem,specifications/DieHard,91c22ea537853196ed1e03e9ad91693ec37642de,True,full,none,True,True,finite-puzzle,0,none,P4
TV-010,The Prisoners & Switches Puzzle,specifications/Prisoners,91c22ea537853196ed1e03e9ad91693ec37642de,True,none,none,True,False,finite-puzzle,0,none,P2
TV-011,The Prisoners & Switch Puzzle (single switch),specifications/Prisoners_Single_Switch,91c22ea537853196ed1e03e9ad91693ec37642de,True,none,none,True,False,finite-puzzle,0,none,P2
TV-012,Specs from Specifying Systems,specifications/SpecifyingSystems,91c22ea537853196ed1e03e9ad91693ec37642de,True,full,none,True,True,language/corpus,0,none,P4
TV-013,The Tower of Hanoi Puzzle,specifications/tower_of_hanoi,91c22ea537853196ed1e03e9ad91693ec37642de,True,none,none,True,False,finite-puzzle,0,none,P2
TV-014,Missionaries and Cannibals,specifications/MissionariesAndCannibals,91c22ea537853196ed1e03e9ad91693ec37642de,True,full,none,True,True,finite-puzzle,0,none,P4
TV-015,Stone Scale Puzzle,specifications/Stones,91c22ea537853196ed1e03e9ad91693ec37642de,True,none,none,True,False,finite-puzzle,0,none,P2
TV-016,The Coffee Can Bean Problem,specifications/CoffeeCan,91c22ea537853196ed1e03e9ad91693ec37642de,True,full,none,True,True,finite-puzzle,0,none,P4
TV-017,EWD687a: Detecting Termination in Distributed Computations,specifications/ewd687a,91c22ea537853196ed1e03e9ad91693ec37642de,True,full,partial,True,False,distributed/termination,2,selected,P4
